relative_path,filename,extension,file_type,risk_classification,recommended_exclusion,size_bytes
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62m.sql,issue62m.sql,sql,database_dump,database_dump,exclude,43
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue144.sql,issue144.sql,sql,database_dump,database_dump,exclude,57
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue141.sql,issue141.sql,sql,database_dump,database_dump,exclude,38
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue106.sql,issue106.sql,sql,database_dump,database_dump,exclude,707
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62h.sql,issue62h.sql,sql,database_dump,database_dump,exclude,99
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33i.sql,issue33i.sql,sql,database_dump,database_dump,exclude,120
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62j.sql,issue62j.sql,sql,database_dump,database_dump,exclude,73
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62o.sql,issue62o.sql,sql,database_dump,database_dump,exclude,84
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62b.sql,issue62b.sql,sql,database_dump,database_dump,exclude,65
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62l.sql,issue62l.sql,sql,database_dump,database_dump,exclude,83
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33h.sql,issue33h.sql,sql,database_dump,database_dump,exclude,105
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue147.sql,issue147.sql,sql,database_dump,database_dump,exclude,44
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33m.sql,issue33m.sql,sql,database_dump,database_dump,exclude,53
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue132.sql,issue132.sql,sql,database_dump,database_dump,exclude,30
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue78d.sql,issue78d.sql,sql,database_dump,database_dump,exclude,22
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/unaryminus.sql,unaryminus.sql,sql,database_dump,database_dump,exclude,11
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue105.sql,issue105.sql,sql,database_dump,database_dump,exclude,667
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue94.sql,issue94.sql,sql,database_dump,database_dump,exclude,53
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue63b.sql,issue63b.sql,sql,database_dump,database_dump,exclude,65
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue117.sql,issue117.sql,sql,database_dump,database_dump,exclude,36
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62f.sql,issue62f.sql,sql,database_dump,database_dump,exclude,43
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/alter2.sql,alter2.sql,sql,database_dump,database_dump,exclude,86
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/insert3.sql,insert3.sql,sql,database_dump,database_dump,exclude,80
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue127.sql,issue127.sql,sql,database_dump,database_dump,exclude,22
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue85.sql,issue85.sql,sql,database_dump,database_dump,exclude,20
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33b.sql,issue33b.sql,sql,database_dump,database_dump,exclude,28
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue78e.sql,issue78e.sql,sql,database_dump,database_dump,exclude,58
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62g.sql,issue62g.sql,sql,database_dump,database_dump,exclude,31
